Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.6272515258274203,0.6269308784521767,0.43965422912791335,0.5168510419346539,0.6671155013981847
Random Forest,0.6380687738798194,0.6198518903468884,0.5220483641536273,0.5667617011166548,0.6843380237266486
XGBoost,0.6487867811243984,0.6256247714250884,0.5615494036546668,0.5918579171952485,0.7008721385208726
